Experiment:	LipSpeechMVPA
date:	12-Aug-2022 15:52:10
Subject:	
onset	duration	trial_number	stim_name	block	modality	repetition	actor	consonant	vowel	target	keypress_number	responsekey	keypress_time
725.990	3.468	1	S3le	2	aud	2	S3	l	e	0	0		0.000
732.618	3.472	2	S1fe	2	aud	2	S1	f	e	0	0		0.000
739.249	3.459	3	S1le	2	aud	2	S1	l	e	0	0		0.000
745.853	3.472	4	S2pe	2	aud	2	S2	p	e	0	0		0.000
752.476	3.463	5	S1la	2	aud	2	S1	l	a	0	0		0.000
759.086	3.454	6	S1li	2	aud	2	S1	l	i	0	0		0.000
765.690	3.450	7	S2pi	2	aud	2	S2	p	i	0	0		0.000
772.288	3.452	8	S3li	2	aud	2	S3	l	i	0	0		0.000
778.904	3.470	9	S1fi	2	aud	2	S1	f	i	0	0		0.000
785.523	3.469	10	S2fe	2	aud	2	S2	f	e	0	0		0.000
792.141	3.449	11	S3la	2	aud	2	S3	l	a	0	0		0.000
798.739	3.470	12	S1fa	2	aud	2	S1	f	a	0	0		0.000
805.370	3.454	13	S3fi	2	aud	2	S3	f	i	0	0		0.000
811.970	3.454	14	S3pi	2	aud	2	S3	p	i	0	0		0.000
818.588	3.470	15	S2le	2	aud	2	S2	l	e	0	0		0.000
825.184	3.324	16	S2la	2	aud	2	S2	l	a	0	0		0.000
831.640	3.469	17	S1pe	2	aud	2	S1	p	e	0	0		0.000
838.256	3.470	18	S1pa	2	aud	2	S1	p	a	0	0		0.000
844.877	3.447	19	S2fa	2	aud	2	S2	f	a	0	0		0.000
851.490	3.469	20	S3fe	2	aud	2	S3	f	e	0	0		0.000
858.119	3.457	21	S2fi	2	aud	2	S2	f	i	0	0		0.000
864.741	3.451	22	S3pa	2	aud	2	S3	p	a	0	0		0.000
871.355	3.454	23	S1pa	2	aud	2	S1	p	a	1	0		0.000
877.958	3.452	24	S3fa	2	aud	2	S3	f	a	0	0		0.000
884.556	3.453	25	S3pe	2	aud	2	S3	p	e	0	0		0.000
891.170	3.456	26	S2pa	2	aud	2	S2	p	a	0	0		0.000
897.786	3.456	27	S1pi	2	aud	2	S1	p	i	0	0		0.000
904.392	3.468	28	S3pi	2	aud	2	S3	p	i	1	0		0.000
911.020	3.456	29	S2li	2	aud	2	S2	l	i	0	0		0.000
