Experiment:	LipSpeechMVPA
date:	12-Aug-2022 15:01:29
Subject:	
onset	duration	trial_number	stim_name	block	modality	repetition	actor	consonant	vowel	target	keypress_number	responsekey	keypress_time
80.680	2.707	1	S1fe	1	aud	1	S1	f	e	0	0		0.000
86.449	2.685	2	S2fe	1	aud	1	S2	f	e	1	0		0.000
92.177	2.674	3	S2pe	1	aud	1	S2	p	e	0	0		0.000
97.884	2.703	4	S2le	1	aud	1	S2	l	e	0	0		0.000
103.638	2.679	5	S1pi	1	aud	1	S1	p	i	0	0		0.000
109.353	2.700	6	S3li	1	aud	1	S3	l	i	0	0		0.000
115.100	2.684	7	S2pa	1	aud	1	S2	p	a	0	0		0.000
120.814	2.687	8	S1le	1	aud	1	S1	l	e	0	1	d	121.712
126.540	2.696	9	S1pe	1	aud	1	S1	p	e	0	1	d	127.363
132.284	2.683	10	S1fi	1	aud	1	S1	f	i	0	1	d	133.376
137.997	2.687	11	S2la	1	aud	1	S2	l	a	0	0		0.000
143.717	2.703	12	S1li	1	aud	1	S1	l	i	0	2	d	144.064
149.469	2.682	13	S3li	1	aud	1	S3	l	i	1	2	d	150.116
155.184	2.702	14	S3fi	1	aud	1	S3	f	i	0	1	d	157.568
160.934	2.702	15	S3fa	1	aud	1	S3	f	a	0	0		0.000
166.685	2.682	16	S2fa	1	aud	1	S2	f	a	1	0		0.000
172.396	2.687	17	S3fe	1	aud	1	S3	f	e	0	0		0.000
178.112	2.672	18	S2li	1	aud	1	S2	l	i	0	0		0.000
183.814	2.686	19	S3pa	1	aud	1	S3	p	a	0	0		0.000
189.530	2.706	20	S2fi	1	aud	1	S2	f	i	0	0		0.000
195.281	2.688	21	S2pi	1	aud	1	S2	p	i	0	0		0.000
200.997	2.687	22	S1fa	1	aud	1	S1	f	a	0	0		0.000
206.713	2.688	23	S1la	1	aud	1	S1	l	a	0	0		0.000
212.433	2.684	24	S3pi	1	aud	1	S3	p	i	0	0		0.000
218.149	2.685	25	S3la	1	aud	1	S3	l	a	0	0		0.000
223.865	2.686	26	S2fe	1	aud	1	S2	f	e	0	0		0.000
229.583	2.685	27	S3pe	1	aud	1	S3	p	e	0	0		0.000
235.299	2.686	28	S3le	1	aud	1	S3	l	e	0	0		0.000
241.012	2.672	29	S1pa	1	aud	1	S1	p	a	0	0		0.000
246.715	2.686	30	S2fa	1	aud	1	S2	f	a	0	0		0.000
